ID,Prompt,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Task Type,Unnamed: 13,Difficulty,cluster_id
322,Design a model monitoring system for detecting data drift in production.,,,,,,,,,,,ML,,Hard,5
323,Compare leader-based and leaderless replication strategies for distributed databases.,,,,,,,,,,,Analysis,,Hard,7
324,Design an AI system for automatically generating release notes from commit history.,,,,,,,,,,,AI Architecture,,Hard,2
325,Write a Python program to print the multiplication table of a number.,,,,,,,,,,,Coding,,Easy,0
326,Design a sentiment analysis system for real-time social media monitoring.,,,,,,,,,,,NLP,,Hard,7
327,Explain how gossip protocols work in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
328,Design an AI-powered code review system integrated into a CI/CD pipeline.,,,,,,,,,,,AI Architecture,,Hard,5
329,Write a Python program to implement insertion sort.,,,,,,,,,,,Coding,,Medium,0
330,What is the capital of Mongolia?,,,,,,,,,,,Factual QA,,Easy,4
331,What is a lambda function?,,,,,,,,,,,Factual QA,,Easy,1
332,What is an IP address?,,,,,,,,,,,Factual QA,,Easy,1
333,Write a Python program to count occurrences of a word in a sentence.,,,,,,,,,,,Coding,,Easy,0
334,"What is 84 divided by 40, rounded to two decimal places?",,,,,,,,,,,Mathematics,,Easy,3
335,"Find the median of the dataset [7, 2, 9, 4, 5].",,,,,,,,,,,Mathematics,,Easy,8
336,Design a human-in-the-loop evaluation process for grading LLM responses.,,,,,,,,,,,AI Evaluation,,Hard,5
337,What is a class in programming?,,,,,,,,,,,Factual QA,,Easy,1
338,Write a Python function to find the maximum of three numbers.,,,,,,,,,,,Coding,,Easy,0
339,Compare relational schema design and document-based schema design.,,,,,,,,,,,Analysis,,Medium,7
340,What is a linked data structure?,,,,,,,,,,,Factual QA,,Easy,1
341,Write a function to find the intersection of two arrays.,,,,,,,,,,,Coding,,Medium,8
342,Develop an optimization strategy for reducing API response payload sizes.,,,,,,,,,,,Optimization,,Hard,7
343,Design a database replication strategy for disaster recovery.,,,,,,,,,,,Database,,Hard,7
344,Analyze why a mobile application crashes only on low-memory devices.,,,,,,,,,,,Debugging,,Hard,5
345,What is 109 multiplied by 19?,,,,,,,,,,,Mathematics,,Easy,3
346,What is a server?,,,,,,,,,,,Factual QA,,Easy,1
347,Write a Python program to implement a hash map from scratch.,,,,,,,,,,,Coding,,Medium,0
348,What is 89 - 40?,,,,,,,,,,,Mathematics,,Easy,3
349,Convert 7 weeks into days.,,,,,,,,,,,Mathematics,,Easy,8
350,What is the capital of Italy?,,,,,,,,,,,Factual QA,,Easy,4
351,Summarize a webinar transcript into key learning points.,,,,,,,,,,,Summarization,,Medium,2
352,Prove that a binary search tree's in-order traversal is always sorted.,,,,,,,,,,,Mathematics,,Hard,6
353,What is the capital of Zimbabwe?,,,,,,,,,,,Factual QA,,Easy,4
354,Design an NLP pipeline for detecting duplicate support tickets.,,,,,,,,,,,NLP,,Hard,2
355,Write a Python function to check whether a character is a vowel.,,,,,,,,,,,Coding,,Easy,0
356,Analyze the trade-offs between using a single large database and multiple smaller databases.,,,,,,,,,,,Analysis,,Hard,7
357,"Find the mode of the dataset [1, 2, 2, 3, 3, 3].",,,,,,,,,,,Mathematics,,Easy,8
358,"Translate ""I need a taxi."" into Arabic.",,,,,,,,,,,Translation,,Easy,9
359,Develop an algorithm for scheduling jobs on multiple machines to minimize makespan.,,,,,,,,,,,Algorithm,,Hard,7
360,Analyze conflicting requirements between data privacy regulations and personalization features.,,,,,,,,,,,Reasoning,,Hard,7
361,Extract all monetary values from this bank statement.,,,,,,,,,,,Extraction,,Easy,8
362,Write a Python program to serialize and deserialize a binary tree.,,,,,,,,,,,Coding,,Medium,0
363,Write a Python program to remove a specific element from a list.,,,,,,,,,,,Coding,,Easy,0
364,Write a Python program to solve the N-Queens problem.,,,,,,,,,,,Coding,,Hard,0
365,Write a Python program to check whether two numbers are equal.,,,,,,,,,,,Coding,,Easy,0
366,What is the capital of Costa Rica?,,,,,,,,,,,Factual QA,,Easy,4
367,What is a stored procedure?,,,,,,,,,,,Factual QA,,Easy,1
368,Find the integral of f(x) = 4x^3 - 2x.,,,,,,,,,,,Mathematics,,Medium,8
369,"Translate ""Can you help me?"" into Italian.",,,,,,,,,,,Translation,,Easy,9
370,"Translate ""What time is it?"" into German.",,,,,,,,,,,Translation,,Easy,9
371,Write a Python program to implement a simple LRU cache.,,,,,,,,,,,Coding,,Medium,0
372,Solve for x in the equation 3(x-2) + 5 = 2x + 4.,,,,,,,,,,,Mathematics,,Medium,8
373,Compare push notifications and polling for mobile app updates.,,,,,,,,,,,Analysis,,Medium,5
374,Design an ML pipeline for detecting network intrusions.,,,,,,,,,,,ML,,Hard,7
375,Explain how JWT tokens work.,,,,,,,,,,,Explanation,,Medium,6
376,Write a Python program to print a right-angled triangle pattern of stars.,,,,,,,,,,,Coding,,Easy,0
377,"Translate ""Where is the train station?"" into Portuguese.",,,,,,,,,,,Translation,,Easy,9
378,What is the capital of Argentina?,,,,,,,,,,,Factual QA,,Easy,4
379,Explain the trade-offs between strong security and system usability.,,,,,,,,,,,Reasoning,,Hard,5
380,What is 102 + 129?,,,,,,,,,,,Mathematics,,Easy,3
381,Write a Python program to find the cube of a number.,,,,,,,,,,,Coding,,Easy,0
382,Design an LLM-based system for automatically summarizing legal contracts.,,,,,,,,,,,AI Architecture,,Hard,2
383,What is the capital of Denmark?,,,,,,,,,,,Factual QA,,Easy,4
384,What is 125 + 81?,,,,,,,,,,,Mathematics,,Easy,3
385,What is 24 + 113?,,,,,,,,,,,Mathematics,,Easy,3
386,Explain why a hash table lookup is O(1) on average.,,,,,,,,,,,Reasoning,,Medium,6
387,What is 48 - 28?,,,,,,,,,,,Mathematics,,Easy,3
388,Write a Python function to find the index of an element in a list.,,,,,,,,,,,Coding,,Easy,0
389,What is 71 multiplied by 123?,,,,,,,,,,,Mathematics,,Easy,3
390,Explain how a content delivery network chooses the nearest edge server.,,,,,,,,,,,Explanation,,Medium,6
391,"Find the slope of the line passing through (2,3) and (6,11).",,,,,,,,,,,Mathematics,,Medium,8
392,Debug an intermittent null pointer exception in a Java application.,,,,,,,,,,,Coding,,Hard,5
393,Solve the system 5x-y=7 and 2x+3y=1.,,,,,,,,,,,Mathematics,,Medium,8
394,What is 7 - 54?,,,,,,,,,,,Mathematics,,Easy,3
395,What is the capital of Croatia?,,,,,,,,,,,Factual QA,,Easy,4
396,Explain the difference between an interface and an abstract class.,,,,,,,,,,,Factual QA,,Medium,6
397,What is technical documentation?,,,,,,,,,,,Factual QA,,Easy,1
398,Analyze why a background job queue keeps falling behind under load.,,,,,,,,,,,Debugging,,Hard,5
399,Convert 2 tons to kilograms.,,,,,,,,,,,Mathematics,,Easy,8
400,Summarize a quarterly earnings call into three highlights.,,,,,,,,,,,Summarization,,Medium,2
401,What is a build pipeline?,,,,,,,,,,,Factual QA,,Easy,1
402,Debug a memory corruption bug in a C program.,,,,,,,,,,,Coding,,Hard,5
403,Analyze how context window size affects an LLM's ability to answer long-document questions.,,,,,,,,,,,AI Analysis,,Hard,5
404,Explain how a token bucket algorithm implements rate limiting.,,,,,,,,,,,Explanation,,Medium,6
405,What is the capital of Cambodia?,,,,,,,,,,,Factual QA,,Easy,4
406,Compare RESTful and RPC-style API design.,,,,,,,,,,,Analysis,,Medium,5
407,Develop a strategy for phasing out a deprecated internal API without breaking clients.,,,,,,,,,,,Planning,,Hard,7
408,Design a multi-region database architecture with low-latency reads.,,,,,,,,,,,Database,,Hard,7
409,Design a scalable architecture for a live sports streaming service.,,,,,,,,,,,Architecture,,Hard,7
410,Design a fault-tolerant architecture for an email delivery service.,,,,,,,,,,,Architecture,,Hard,7
411,"Translate ""Happy birthday"" into Dutch.",,,,,,,,,,,Translation,,Easy,9
412,Explain the difference between deep copy and shallow copy.,,,,,,,,,,,Factual QA,,Medium,6
413,"Find the range of the dataset [10, 25, 3, 47, 18].",,,,,,,,,,,Mathematics,,Easy,8
414,What is a data warehouse?,,,,,,,,,,,Factual QA,,Easy,1
415,Analyze the trade-offs between vertical partitioning and horizontal partitioning.,,,,,,,,,,,Analysis,,Hard,6
416,Write a Python program to check whether a string contains only digits.,,,,,,,,,,,Coding,,Easy,0
417,Write a Python program to check whether a matrix is a magic square.,,,,,,,,,,,Coding,,Medium,0
418,Design a secure multi-factor authentication system for a mobile banking app.,,,,,,,,,,,Security,,Hard,7
419,Analyze the space complexity of a recursive dynamic programming solution.,,,,,,,,,,,Mathematics,,Hard,6
420,"Translate ""See you tomorrow"" into Chinese.",,,,,,,,,,,Translation,,Easy,9
421,What is throughput?,,,,,,,,,,,Factual QA,,Easy,1
422,Analyze a dataset of application crash reports to identify the most common root causes.,,,,,,,,,,,Data Analysis,,Hard,5
423,Explain how canary releases work.,,,,,,,,,,,Explanation,,Medium,1
424,Summarize this movie plot in one sentence.,,,,,,,,,,,Summarization,,Medium,2
425,What is the capital of Bangladesh?,,,,,,,,,,,Factual QA,,Easy,4
426,Explain why amortized analysis is used for dynamic array resizing.,,,,,,,,,,,Reasoning,,Medium,6
427,What is a hash table?,,,,,,,,,,,Factual QA,,Easy,1
428,Write a Python program to check whether a graph is bipartite.,,,,,,,,,,,Coding,,Medium,0
429,What is overfitting in machine learning?,,,,,,,,,,,Factual QA,,Easy,1
430,Analyze this JavaScript program and identify potential memory leaks.,,,,,,,,,,,Coding,,Hard,5
431,Explain how database connection pooling prevents resource exhaustion.,,,,,,,,,,,Explanation,,Medium,6
432,Write a Python program to detect a cycle in a linked list.,,,,,,,,,,,Coding,,Medium,0
433,Calculate the probability of rolling a sum of 7 with two dice.,,,,,,,,,,,Mathematics,,Medium,8
434,What is 116 - 104?,,,,,,,,,,,Mathematics,,Easy,3
435,Convert 3 days into hours.,,,,,,,,,,,Mathematics,,Easy,8
436,Write a Python function to check whether a list contains a specific value.,,,,,,,,,,,Coding,,Easy,0
437,"Translate ""I don't understand."" into Spanish.",,,,,,,,,,,Translation,,Easy,9
438,Summarize a regulatory compliance document into key requirements.,,,,,,,,,,,Summarization,,Hard,2
439,Design a scalable search engine architecture for an e-commerce catalog.,,,,,,,,,,,Architecture,,Hard,7
440,Explain how a publish-subscribe messaging pattern works.,,,,,,,,,,,Explanation,,Medium,6
441,What is 125 - 104?,,,,,,,,,,,Mathematics,,Easy,3
442,Write a Python program to remove whitespace from a string.,,,,,,,,,,,Coding,,Easy,0
443,Write a Python program to convert a binary tree into its mirror image.,,,,,,,,,,,Coding,,Medium,0
444,Analyze how retrieval quality affects the accuracy of a RAG-based system.,,,,,,,,,,,AI Analysis,,Hard,5
445,"Translate ""How much does this cost?"" into Vietnamese.",,,,,,,,,,,Translation,,Easy,9
446,"Translate ""Have a good day"" into Finnish.",,,,,,,,,,,Translation,,Easy,9
447,What is 33 multiplied by 59?,,,,,,,,,,,Mathematics,,Easy,3
448,Design a simple database schema for a hotel booking system.,,,,,,,,,,,Planning,,Medium,7
449,What is a null value?,,,,,,,,,,,Factual QA,,Easy,1
450,What is the capital of Estonia?,,,,,,,,,,,Factual QA,,Easy,4
451,"Translate ""How are you?"" into Russian.",,,,,,,,,,,Translation,,Easy,9
452,Analyze the risks of insecure deserialization in a web application.,,,,,,,,,,,Security,,Hard,5
453,Design a scalable architecture for a music streaming service.,,,,,,,,,,,Architecture,,Hard,7
454,What is a garbage collector?,,,,,,,,,,,Factual QA,,Easy,1
455,Analyze conflicting performance and cost requirements for a cloud migration and propose a resolution.,,,,,,,,,,,Reasoning,,Hard,7
456,Design a distributed architecture for a real-time language translation service.,,,,,,,,,,,Architecture,,Hard,7
457,What is the capital of Philippines?,,,,,,,,,,,Factual QA,,Easy,4
458,Write a Python program to find all prime numbers up to n using the Sieve of Eratosthenes.,,,,,,,,,,,Coding,,Medium,0
459,Write a Python program to concatenate two strings.,,,,,,,,,,,Coding,,Easy,0
460,Compare eager loading and lazy loading in ORMs.,,,,,,,,,,,Analysis,,Medium,5
461,Solve the system 4x+3y=18 and 2x-y=2.,,,,,,,,,,,Mathematics,,Medium,8
462,Compare synchronous and asynchronous APIs for a chat application.,,,,,,,,,,,Analysis,,Medium,5
463,Extract all names mentioned in this article.,,,,,,,,,,,Extraction,,Easy,2
464,Extract all company names mentioned in this press release.,,,,,,,,,,,Extraction,,Easy,2
465,What is an object in programming?,,,,,,,,,,,Factual QA,,Easy,1
466,Write a Python program to check if a string ends with a given suffix.,,,,,,,,,,,Coding,,Easy,0
467,What is 121 - 118?,,,,,,,,,,,Mathematics,,Easy,3
468,Analyze how prompt structure affects an LLM's reasoning accuracy.,,,,,,,,,,,AI Analysis,,Hard,5
469,Summarize this user manual page in one sentence.,,,,,,,,,,,Summarization,,Hard,2
470,What is polymorphism?,,,,,,,,,,,Factual QA,,Easy,1
471,Debug a scenario where cached data becomes stale and causes incorrect application behavior.,,,,,,,,,,,Debugging,,Hard,5
472,What is a proxy server?,,,,,,,,,,,Factual QA,,Easy,1
473,"Translate ""Nice to meet you"" into Turkish.",,,,,,,,,,,Translation,,Easy,9
474,"Translate ""Where do you live?"" into French.",,,,,,,,,,,Translation,,Easy,9
475,What is the capital of Belgium?,,,,,,,,,,,Factual QA,,Easy,4
476,Design an evaluation process for comparing two different RAG pipeline configurations.,,,,,,,,,,,AI Evaluation,,Hard,5
477,Write a Python program to check whether a binary tree is balanced.,,,,,,,,,,,Coding,,Medium,0
478,Develop a strategy for optimizing network bandwidth usage in a video streaming service.,,,,,,,,,,,Optimization,,Hard,7
479,What is a neural network?,,,,,,,,,,,Factual QA,,Easy,1
480,What is 38 - 140?,,,,,,,,,,,Mathematics,,Easy,3
481,What is a data lake?,,,,,,,,,,,Factual QA,,Easy,1
482,Design a fault-tolerant architecture for an online voting system.,,,,,,,,,,,Architecture,,Hard,7
483,Explain how idempotency keys work in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
484,"Translate ""What is your favorite color?"" into Russian.",,,,,,,,,,,Translation,,Easy,9
485,Design an ML pipeline for demand forecasting in a retail business.,,,,,,,,,,,ML,,Hard,7
486,Compare cookie-based and token-based session management.,,,,,,,,,,,Analysis,,Medium,5
487,What does JSON stand for?,,,,,,,,,,,Factual QA,,Easy,1
488,Analyze the security risks of storing secrets in application source code.,,,,,,,,,,,Security,,Hard,5
489,Explain the difference between a stack and a heap in memory management.,,,,,,,,,,,Factual QA,,Medium,6
490,What is the capital of Malta?,,,,,,,,,,,Factual QA,,Easy,4
491,Write a Python program to find all subsets of a given set.,,,,,,,,,,,Coding,,Medium,0
492,Design a secure system for managing encryption key rotation.,,,,,,,,,,,Security,,Hard,7
493,Develop an algorithm for detecting the strongly connected components of a graph.,,,,,,,,,,,Algorithm,,Hard,6
494,Write a Python program to print all even numbers between 1 and 50.,,,,,,,,,,,Coding,,Easy,0
495,Explain how a bloom filter works.,,,,,,,,,,,Explanation,,Medium,6
496,Design an NLP system for automatically tagging news articles by topic.,,,,,,,,,,,NLP,,Hard,2
497,What is the capital of Paraguay?,,,,,,,,,,,Factual QA,,Easy,4
498,Explain the difference between a process and a thread.,,,,,,,,,,,Factual QA,,Medium,6
499,"Find the eigenvalues of the matrix [[2,0],[0,3]].",,,,,,,,,,,Mathematics,,Medium,8
500,"Calculate the correlation coefficient for the dataset (1,2),(2,4),(3,6).",,,,,,,,,,,Mathematics,,Medium,8
501,Analyze conflicting stakeholder priorities in a software redesign project and propose a resolution.,,,,,,,,,,,Reasoning,,Hard,7
502,Analyze the risks of cross-site scripting vulnerabilities in a web application.,,,,,,,,,,,Security,,Hard,5
503,What is a deadlock?,,,,,,,,,,,Factual QA,,Easy,1
504,Compare batch processing and stream processing for analytics workloads.,,,,,,,,,,,Analysis,,Medium,5
505,Write a Python program to implement Dijkstra's shortest path algorithm.,,,,,,,,,,,Coding,,Hard,0
506,Design a scalable architecture for a real-time fraud detection platform.,,,,,,,,,,,Architecture,,Hard,7
507,"Find the equation of a circle with center (2,-3) and radius 5.",,,,,,,,,,,Mathematics,,Medium,8
508,What is 18 - 17?,,,,,,,,,,,Mathematics,,Easy,3
509,"Translate ""Where is the bathroom?"" into Hebrew.",,,,,,,,,,,Translation,,Easy,9
510,Explain how vector clocks work in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
511,What is the capital of Mexico?,,,,,,,,,,,Factual QA,,Easy,4
512,Analyze a C++ program for potential buffer overflow vulnerabilities.,,,,,,,,,,,Coding,,Hard,5
513,Write a Python function to check whether a number is divisible by both 3 and 5.,,,,,,,,,,,Coding,,Easy,0
514,Design a model evaluation strategy for an imbalanced binary classification problem.,,,,,,,,,,,ML,,Hard,5
515,Design a multi-tenant SaaS architecture for enterprise customers.,,,,,,,,,,,Architecture,,Hard,7
516,Write a Python program to implement a doubly linked list.,,,,,,,,,,,Coding,,Medium,0
517,Design an experiment to measure the effect of context length on LLM answer quality.,,,,,,,,,,,Experimentation,,Hard,5
518,What is 108 + 93?,,,,,,,,,,,Mathematics,,Easy,3
519,Explain how a virtual DOM improves rendering performance in web frameworks.,,,,,,,,,,,Explanation,,Medium,6
520,What is inheritance in programming?,,,,,,,,,,,Factual QA,,Easy,1
521,"Translate ""Good luck"" into Spanish.",,,,,,,,,,,Translation,,Easy,9
522,What is 149 + 78?,,,,,,,,,,,Mathematics,,Easy,3
523,Prove that the Fibonacci sequence grows exponentially using induction.,,,,,,,,,,,Mathematics,,Hard,8
524,Write a Python program to merge two dictionaries.,,,,,,,,,,,Coding,,Easy,0
525,Compare synchronous replication and asynchronous replication for a distributed database.,,,,,,,,,,,Analysis,,Hard,6
526,Analyze why a regression model produces unstable predictions on new data.,,,,,,,,,,,ML,,Hard,5
527,Summarize this job posting in two sentences.,,,,,,,,,,,Summarization,,Medium,2
528,Analyze why an ML model's performance degrades over time in production.,,,,,,,,,,,ML,,Hard,5
529,Design a basic rollout plan for a company-wide software update.,,,,,,,,,,,Planning,,Medium,7
530,Design a high-availability architecture for an airline booking system.,,,,,,,,,,,Architecture,,Hard,7
531,Explain how database sharding works.,,,,,,,,,,,Explanation,,Medium,6
532,Design a scalable architecture for a real-time inventory management system.,,,,,,,,,,,Architecture,,Hard,7
533,Explain the difference between a mutable and immutable object.,,,,,,,,,,,Factual QA,,Medium,6
534,Explain how circuit breakers work in distributed systems.,,,,,,,,,,,Explanation,,Medium,6
535,Design a feature engineering strategy for a fraud detection model.,,,,,,,,,,,ML,,Hard,7
536,Write a Python function to multiply two numbers.,,,,,,,,,,,Coding,,Easy,0
537,"What is 91 divided by 129, rounded to two decimal places?",,,,,,,,,,,Mathematics,,Easy,3
538,Design a scalable architecture for a document collaboration platform.,,,,,,,,,,,Architecture,,Hard,7
539,Analyze why a classification model has high accuracy but low recall.,,,,,,,,,,,ML,,Hard,5
540,Explain the difference between a linked list and a doubly linked list.,,,,,,,,,,,Factual QA,,Medium,6
541,Compare pessimistic and optimistic concurrency control for a booking system.,,,,,,,,,,,Analysis,,Hard,7
542,Design a distributed architecture for a real-time bidding advertising platform.,,,,,,,,,,,Architecture,,Hard,7
543,Design a distributed rate-limiting system for a public API.,,,,,,,,,,,Architecture,,Hard,7
544,"Count how many odd numbers are in [3, 6, 9, 12, 15].",,,,,,,,,,,Mathematics,,Easy,8
545,Convert 200 pounds to kilograms.,,,,,,,,,,,Mathematics,,Easy,8
546,What is a webhook?,,,,,,,,,,,Factual QA,,Easy,1
547,What is a code review?,,,,,,,,,,,Factual QA,,Easy,1
548,Develop an optimization strategy for minimizing cloud infrastructure costs.,,,,,,,,,,,Optimization,,Hard,7
549,Design an ML pipeline for predicting equipment failure in manufacturing.,,,,,,,,,,,ML,,Hard,5
550,Analyze why a web application's response times degrade gradually over several days.,,,,,,,,,,,Debugging,,Hard,5
551,Convert 400 seconds into minutes.,,,,,,,,,,,Mathematics,,Easy,8
552,What is a token in NLP?,,,,,,,,,,,Factual QA,,Easy,1
553,What is the capital of Sri Lanka?,,,,,,,,,,,Factual QA,,Easy,4
554,Design an AI-powered document processing pipeline for insurance claims.,,,,,,,,,,,AI Architecture,,Hard,7
555,What is the capital of Lebanon?,,,,,,,,,,,Factual QA,,Easy,4
556,What is the capital of Nigeria?,,,,,,,,,,,Factual QA,,Easy,4
557,What is the capital of Ukraine?,,,,,,,,,,,Factual QA,,Easy,4
558,Analyze a dataset of user churn to identify the strongest predictive features.,,,,,,,,,,,Data Analysis,,Hard,5
559,What is the capital of Malaysia?,,,,,,,,,,,Factual QA,,Easy,4
560,Write a Python program to implement a priority queue using a heap.,,,,,,,,,,,Coding,,Medium,0
561,Write a Python program to count the number of vowels in a string.,,,,,,,,,,,Coding,,Easy,0
562,Analyze why an API intermittently times out during peak traffic.,,,,,,,,,,,Debugging,,Hard,5
563,"Find the equation of the line passing through (1,2) with slope 3.",,,,,,,,,,,Mathematics,,Medium,8
564,Explain the difference between vertical and horizontal scaling.,,,,,,,,,,,Factual QA,,Medium,6
565,Design a scalable architecture for a video streaming platform.,,,,,,,,,,,Architecture,,Hard,7
566,What is 40 multiplied by 23?,,,,,,,,,,,Mathematics,,Easy,3
567,What is 89 multiplied by 116?,,,,,,,,,,,Mathematics,,Easy,3
568,What is 114 + 43?,,,,,,,,,,,Mathematics,,Easy,3
569,Write a Python program to find the factorial of a number.,,,,,,,,,,,Coding,,Easy,0
570,What is 150 + 118?,,,,,,,,,,,Mathematics,,Easy,3
571,Write a Python program to find the kth largest element in an array.,,,,,,,,,,,Coding,,Medium,0
572,Design a highly available architecture for a government citizen services portal.,,,,,,,,,,,Architecture,,Hard,7
573,Extract all street addresses from this document.,,,,,,,,,,,Extraction,,Easy,2
574,What is 2 - 147?,,,,,,,,,,,Mathematics,,Easy,3
575,What is version control?,,,,,,,,,,,Factual QA,,Easy,1
576,Explain how a rate limiter works.,,,,,,,,,,,Explanation,,Medium,6
577,What is 37 + 112?,,,,,,,,,,,Mathematics,,Easy,3
578,What is the capital of Uruguay?,,,,,,,,,,,Factual QA,,Easy,4
579,Write a Python program to print all divisors of a number.,,,,,,,,,,,Coding,,Easy,0
580,"Translate ""What is your name?"" into Greek.",,,,,,,,,,,Translation,,Easy,9
581,Write a Python program to find the shortest path in an unweighted graph.,,,,,,,,,,,Coding,,Medium,0
582,Analyze the trade-offs between synchronous and asynchronous message processing.,,,,,,,,,,,Analysis,,Hard,5
583,What is the capital of Lithuania?,,,,,,,,,,,Factual QA,,Easy,4
584,Extract all percentages mentioned in this report.,,,,,,,,,,,Extraction,,Easy,2
585,Write a Python program to find the missing number in a range of integers.,,,,,,,,,,,Coding,,Medium,0
586,"Translate ""I am learning Python."" into Japanese.",,,,,,,,,,,Translation,,Easy,9
587,Design a resilient architecture for a satellite data ingestion pipeline.,,,,,,,,,,,Architecture,,Hard,7
588,What is 40 + 139?,,,,,,,,,,,Mathematics,,Easy,3
589,What is 7 - 120?,,,,,,,,,,,Mathematics,,Easy,3
590,Summarize a multi-year financial report into an executive summary.,,,,,,,,,,,Summarization,,Hard,2
591,Write a Python function to remove a specific character from a string.,,,,,,,,,,,Coding,,Easy,0
592,Prove that a heap can be built from an unsorted array in O(n) time.,,,,,,,,,,,Mathematics,,Hard,6
593,What is 138 multiplied by 96?,,,,,,,,,,,Mathematics,,Easy,3
594,Explain and solve a complex graph traversal problem involving shortest paths.,,,,,,,,,,,Algorithm,,Hard,6
595,What is a package manager?,,,,,,,,,,,Factual QA,,Easy,1
596,What is 75 - 35?,,,,,,,,,,,Mathematics,,Easy,3
597,Develop a disaster recovery plan for a mission-critical application.,,,,,,,,,,,Planning,,Hard,7
598,Design an experiment to determine the optimal chunk size for document retrieval.,,,,,,,,,,,Experimentation,,Hard,5
599,Convert 15 feet to meters.,,,,,,,,,,,Mathematics,,Easy,8
600,Design an ML pipeline for predicting hospital readmission rates.,,,,,,,,,,,ML,,Hard,5
601,Explain how a trie data structure works.,,,,,,,,,,,Explanation,,Medium,6
602,Summarize this weather report in one sentence.,,,,,,,,,,,Summarization,,Medium,2
603,Design a recommendation system for a job matching platform.,,,,,,,,,,,ML,,Hard,7
604,Analyze a dataset of website clickstream data to identify user drop-off points.,,,,,,,,,,,Data Analysis,,Hard,5
605,Write a Python program to print numbers in reverse from 10 to 1.,,,,,,,,,,,Coding,,Easy,0
606,Analyze a dataset of sales transactions to identify seasonal purchasing trends.,,,,,,,,,,,Data Analysis,,Hard,7
607,Explain how a load-testing tool measures performance.,,,,,,,,,,,Explanation,,Medium,5
608,What is the capital of Ethiopia?,,,,,,,,,,,Factual QA,,Easy,4
609,Design a simple database schema for an online course platform.,,,,,,,,,,,Planning,,Medium,7
610,Write a function to determine whether a matrix is symmetric.,,,,,,,,,,,Coding,,Medium,0
611,Design a fault-tolerant architecture for a supply chain management system.,,,,,,,,,,,Architecture,,Hard,7
612,Design a multilingual NLP pipeline for customer support ticket routing.,,,,,,,,,,,NLP,,Hard,7
613,Write a Python program to generate a list of squares from 1 to 10.,,,,,,,,,,,Coding,,Easy,0
614,Design an ML pipeline for personalizing email marketing campaigns.,,,,,,,,,,,ML,,Hard,7
615,Summarize a research paper's methodology in a few sentences.,,,,,,,,,,,Summarization,,Medium,2
616,Compare API gateway and service mesh approaches for microservices communication.,,,,,,,,,,,Analysis,,Hard,7
617,What is the capital of Switzerland?,,,,,,,,,,,Factual QA,,Easy,4
618,What is an if-else statement?,,,,,,,,,,,Factual QA,,Easy,1
619,Write a Python program to find the longest common prefix among a list of strings.,,,,,,,,,,,Coding,,Medium,0
620,Design a scalable architecture for a food delivery platform.,,,,,,,,,,,Architecture,,Hard,7
621,What is 34 - 133?,,,,,,,,,,,Mathematics,,Easy,3
622,Write a Python program to implement a trie data structure.,,,,,,,,,,,Coding,,Medium,0
623,Design a fault-tolerant architecture for a global payroll processing system.,,,,,,,,,,,Architecture,,Hard,7
624,Design a scalable architecture for a subscription-based streaming news service.,,,,,,,,,,,Architecture,,Hard,7
625,Design an algorithm for efficiently merging k sorted lists.,,,,,,,,,,,Algorithm,,Hard,7
626,What is 145 - 102?,,,,,,,,,,,Mathematics,,Easy,3
627,Analyze a Rust program for potential ownership and borrowing issues.,,,,,,,,,,,Coding,,Hard,5
628,Design a scalable architecture for a video conferencing application.,,,,,,,,,,,Architecture,,Hard,7
629,What is the capital of Slovakia?,,,,,,,,,,,Factual QA,,Easy,4
630,Explain how a CDN speeds up content delivery.,,,,,,,,,,,Explanation,,Medium,6
631,What is pseudocode?,,,,,,,,,,,Factual QA,,Easy,1
632,Write a Python function to find the length of a string without using len().,,,,,,,,,,,Coding,,Easy,0
633,Find the sum of the first 20 terms of the arithmetic sequence starting at 3 with a common difference of 5.,,,,,,,,,,,Mathematics,,Medium,8
634,Design a fault-tolerant architecture for a telemedicine application.,,,,,,,,,,,Architecture,,Hard,7
635,Summarize a lengthy academic thesis while preserving its core arguments.,,,,,,,,,,,Summarization,,Hard,2
636,Compare monolithic and serverless deployment for a small startup.,,,,,,,,,,,Analysis,,Medium,5
637,Explain how a message queue works.,,,,,,,,,,,Explanation,,Medium,6
638,What is multiprocessing?,,,,,,,,,,,Factual QA,,Easy,1
639,What is an event loop?,,,,,,,,,,,Factual QA,,Easy,1
640,What is 92 + 45?,,,,,,,,,,,Mathematics,,Easy,3
641,What is the capital of Myanmar?,,,,,,,,,,,Factual QA,,Easy,4
642,Analyze a Go program for potential goroutine leaks.,,,,,,,,,,,Coding,,Hard,5
643,Write a Python program to find the minimum of three numbers.,,,,,,,,,,,Coding,,Easy,0
644,Summarize this restaurant review in one sentence.,,,,,,,,,,,Summarization,,Medium,2
645,Debug a deadlock occurring between two database transactions.,,,,,,,,,,,Coding,,Hard,5
646,Write a Python program to check whether a list is sorted.,,,,,,,,,,,Coding,,Easy,0
